,id,company_name,job_title,location,job_link,type
0,1,Paytm,Growth Strategy Manager,"Noida, Uttar Pradesh / Delhi-NCR / Mumbai, Maharashtra / Bangalore, Karnataka",https://jobs.lever.co/paytm/0f745d90-e4e6-4cf5-9ee9-4b7ad1456374,Other
1,2,Paytm,Senior Data Analyst-Paytm Money(Broking Preferred),"Mumbai, Maharashtra",https://jobs.lever.co/paytm/902aa48d-e056-4cbe-ad7e-d70e57ac662f,Tech
2,3,Paytm,Business Analyst - Team Lead (NOIDA),"Noida, Uttar Pradesh",https://jobs.lever.co/paytm/43e1a748-88e0-4068-a934-8e519a72982b,Other
3,4,Paytm,Business Analyst - Team Lead - Credit Card Business,"Noida, Uttar Pradesh",https://jobs.lever.co/paytm/ba7f0305-6011-451a-a2fd-f122708d8f72,Other
4,5,Paytm,Business Analyst - Team Lead (NOIDA),"Noida, Uttar Pradesh",https://jobs.lever.co/paytm/2564714d-03ed-4b70-b0fe-9109c1138b66,Other
5,6,Paytm,Team Lead Sales- Rishikesh,"Rishikesh, Uttrakhand",https://jobs.lever.co/paytm/b72c9fb0-1925-4cd5-8a08-577d4b92f26c,Marketing
6,7,Paytm,Data Scientist-Paytm Money,"Mumbai, Maharashtra",https://jobs.lever.co/paytm/aa9ccc4b-6307-4fc8-93db-88d1a26ff71d,Tech
7,8,Paytm,Java Backend Developer,"Noida, Uttar Pradesh / Bangalore, Karnataka / Mumbai, Maharashtra",https://jobs.lever.co/paytm/3802f986-af1a-4f20-92af-4b2ca73e5f9c,Tech
8,9,Paytm,Senior Software Engineer- Java Backend,"Noida, Uttar Pradesh / Bangalore, Karnataka / Mumbai, Maharashtra",https://jobs.lever.co/paytm/a1484f80-8ad5-45ea-aba1-1db0cde8e512,Tech
9,10,Paytm,Sales Team Lead - Dairy - Bangalore,"Bengaluru, Karnataka",https://jobs.lever.co/paytm/e8daaffa-38c3-4917-9fbb-d5922431f88c,Marketing
10,11,Paytm,Sales Team Lead - Dairy - Chennai,"Chennai, Tamil Nadu",https://jobs.lever.co/paytm/a1f86096-11de-4f5d-b437-2c35ef6413ad,Marketing
11,12,Paytm,Sales team Lead - Dairy - Chittoor,"Chittoor, Andhra Pradesh",https://jobs.lever.co/paytm/957b47d3-f4c1-4242-b06c-98585ea69e64,Marketing
12,13,Paytm,Sales Team Lead - Dairy - Dairy - Gorakhpur,"Gorakhpur, Uttar Pradesh",https://jobs.lever.co/paytm/f938f688-8469-444d-9cb6-19e32facfc09,Marketing
13,14,Paytm,Sales Team Lead - Dairy - Ernakulam,"Ernakulam, Kerala",https://jobs.lever.co/paytm/b62ce118-e34e-4a40-a8d6-545969911e6a,Marketing
14,15,Paytm,Sales Team Lead - Dairy - Goa,Goa,https://jobs.lever.co/paytm/2ae6cf6f-031b-44e1-82ad-b33dc1b56abb,Marketing
15,16,Paytm,Sales Team Lead - Dairy - Hasan,"Hassan, Karnataka",https://jobs.lever.co/paytm/1f604d35-4044-4457-878c-52731971f55c,Marketing
16,17,Paytm,Sales Team Lead - Dairy - Hubli,"Hubli, Karnataka",https://jobs.lever.co/paytm/73c10a07-9fa0-4e84-b1cb-e8a26ed39759,Marketing
17,18,Paytm,Sales Team Lead - Dairy - Hyderabad,"Hyderabad, Telangana",https://jobs.lever.co/paytm/382d0ec0-6e74-470f-a4ed-2b830df05a1b,Marketing
18,19,Paytm,Sales Team Lead - Dairy - Madurai,"Madurai, Tamil Nadu",https://jobs.lever.co/paytm/08c1bbde-d8d6-48a5-9f0f-6c1331fb635b,Marketing
19,20,Paytm,Sales Team Lead - Dairy - Malappuram,"Malappuram, Kerala",https://jobs.lever.co/paytm/b653a053-194b-4fc7-8d1e-d757109a5324,Marketing
20,21,Paytm,Sales Team Lead - Dairy - Mangalore,"Managlore, Karnataka",https://jobs.lever.co/paytm/fcb37438-b0cd-45e4-b313-01a3dd78cbca,Marketing
21,22,Paytm,Sales Team Lead - Dairy - Mysore,"Mysore, Karnataka",https://jobs.lever.co/paytm/2d6a76ce-48f1-4bb9-9fb4-b2810c81c8fa,Marketing
22,23,Paytm,Sales Team Lead - Dairy - Nashik,"Nashik, Maharashtra",https://jobs.lever.co/paytm/0deb7418-93db-4424-b545-d3692f9ebdde,Marketing
23,24,Paytm,Sales Team Lead - Dairy - Pondicherry,Pondicherry,https://jobs.lever.co/paytm/f48ac048-4719-45aa-a58a-7f3a69fadec4,Marketing
24,25,Paytm,Sales Team Lead - Dairy - Salem,"Salem, Tamil Nadu",https://jobs.lever.co/paytm/0eb65257-a24c-4895-b6d7-e3aadc49d4af,Marketing
25,26,Paytm,Sales Team Lead - Dairy - Trivandrum,"Trivandrum, Kerala",https://jobs.lever.co/paytm/c01b94ba-2bbc-414e-84ef-0e8a612fe0dc,Marketing
26,27,Paytm,Sales Team Lead - Dairy - Urban Bengaluru,"Bengaluru, Karnataka",https://jobs.lever.co/paytm/beba4bda-4a7e-4ca3-adc3-0b7d3c466f91,Marketing
27,28,Paytm,Sales Team Lead - Dairy - Visakhapatnam,"Visakhapatnam, Andhra Pradesh",https://jobs.lever.co/paytm/a395e069-2cc1-4cdc-9093-d8c558746132,Marketing
28,29,Paytm,Sales Team Lead - Dairy -Vellore,"Vellore, Tamil Nadu",https://jobs.lever.co/paytm/43e85b2f-47e1-4f9e-95c5-33896c5012bc,Marketing
29,30,Paytm,Sales Team Lead - Tirunelveli .,"Tirunelveli, Tamil Nadu",https://jobs.lever.co/paytm/6e7eb676-31c5-40cc-8e3d-2f0a7a5d08fe,Marketing
30,31,Paytm,Sales Team Lead -Dairy - Mumbai,"Mumbai, Maharashtra",https://jobs.lever.co/paytm/a01904b5-f820-4596-958a-3508b444f539,Marketing
31,32,Paytm,Team Lead - Dairy - Kozhikode,"Kozhikode, Kerala",https://jobs.lever.co/paytm/46adb091-f348-4339-a4ae-3a3e2ae647ed,Other
